Barcode_ID,Timestamp,Weight
33,2025-10-22 16:32:37,1.480 kg  G
33,2025-10-22 16:35:49,1.528 kg  G
01,2025-10-22 16:36:18,1.514 kg  G
01,2025-10-22 16:36:44,1.576 kg  G
20,2025-10-22 16:37:10,1.486 kg  G
20,2025-10-22 16:37:38,1.524 kg  G
30,2025-10-22 16:37:55,1.314 kg  G
30,2025-10-22 16:38:13,1.334 kg  G
39,2025-10-22 16:38:31,1.352 kg  G
39,2025-10-22 16:39:06,1.382 kg  G
24,2025-10-22 16:39:59,1.354 kg  G
03,2025-10-22 16:41:16,1.452 kg  G
03,2025-10-22 16:41:47,1.498 kg  G
38,2025-10-22 16:42:05,1.328 kg  G
38,2025-10-22 16:42:37,1.366 kg  G
23,2025-10-22 16:43:10,1.324 kg  G
23,2025-10-22 16:43:40,1.378 kg  G
28,2025-10-22 16:43:56,1.284 kg  G
28,2025-10-22 16:44:31,1.324 kg  G
35,2025-10-22 16:44:51,1.480 kg  G
35,2025-10-22 16:45:22,1.520 kg  G
04,2025-10-22 16:45:38,1.500 kg  G
04,2025-10-22 16:46:27,1.552 kg  G
07,2025-10-22 16:46:44,1.346 kg  G
07,2025-10-22 16:47:09,1.398 kg  G
12,2025-10-22 16:47:25,1.318 kg  G
12,2025-10-22 16:47:54,1.382 kg  G
06,2025-10-22 16:48:24,1.366 kg  N
06,2025-10-22 16:49:10,1.408 kg  N
29,2025-10-22 16:49:35,1.282 kg  G
29,2025-10-22 16:49:56,1.316 kg  G
09,2025-10-22 16:51:03,1.406 kg  G
09,2025-10-22 16:51:36,1.444 kg  G
15,2025-10-22 16:51:52,1.254 kg  G
15,2025-10-22 16:52:13,1.286 kg  G
02,2025-10-22 16:52:29,1.474 kg  G
02,2025-10-22 16:53:11,1.534 kg  G
32,2025-10-22 16:53:25,1.502 kg  G
32,2025-10-22 16:54:02,1.562 kg  G
27,2025-10-22 16:54:36,1.270 kg  G
27,2025-10-22 16:54:59,1.302 kg  G
26,2025-10-22 16:55:12,1.310 kg  G
26,2025-10-22 16:55:36,1.348 kg  G
43,2025-10-22 16:56:37,1.282 kg  G
43,2025-10-22 16:57:03,1.318 kg  G
08,2025-10-22 16:57:20,1.356 kg  G
08,2025-10-22 16:57:45,1.396 kg  G
16,2025-10-22 16:58:50,1.478 kg  G
16,2025-10-22 16:59:30,1.518 kg  G
19,2025-10-22 16:59:49,1.496 kg  G
19,2025-10-22 17:00:20,1.548 kg  G
34,2025-10-22 17:00:38,1.498 kg  G
34,2025-10-22 17:01:04,1.540 kg  G
11,2025-10-22 17:01:18,1.296 kg  G
11,2025-10-22 17:01:41,1.312 kg  G
45,2025-10-22 17:02:25,1.272 kg  G
45,2025-10-22 17:02:58,1.302 kg  G
25,2025-10-22 17:03:12,1.306 kg  G
25,2025-10-22 17:03:33,1.336 kg  G
10,2025-10-22 17:03:47,1.402 kg  G
10,2025-10-22 17:04:11,1.432 kg  G
21,2025-10-22 17:04:26,1.350 kg  G
21,2025-10-22 17:04:56,1.398 kg  G
17,2025-10-22 17:06:19,1.514 kg  G
17,2025-10-22 17:06:44,1.568 kg  G
36,2025-10-22 17:06:57,1.350 kg  G
36,2025-10-22 17:07:14,1.352 kg  G
41,2025-10-22 17:07:26,1.292 kg  G
41,2025-10-22 17:07:46,1.336 kg  G
42,2025-10-22 17:08:01,1.244 kg  G
42,2025-10-22 17:08:33,1.290 kg  G
37,2025-10-22 17:08:48,1.266 kg  G
37,2025-10-22 17:09:18,1.306 kg  G
22,2025-10-22 17:10:05,1.328 kg  G
22,2025-10-22 17:10:35,1.370 kg  G
44,2025-10-22 17:10:49,1.282 kg  G
44,2025-10-22 17:11:24,1.314 kg  G
14,2025-10-22 17:11:41,1.338 kg  G
14,2025-10-22 17:12:09,1.372 kg  G
31,2025-10-22 17:12:21,1.482 kg  G
31,2025-10-22 17:12:58,1.550 kg  G
40,2025-10-22 17:13:38,1.326 kg  G
40,2025-10-22 17:14:10,1.356 kg  G
13,2025-10-22 17:14:21,1.284 kg  G
13,2025-10-22 17:14:46,1.314 kg  G
18,2025-10-22 17:15:02,1.502 kg  G
